,TARGET,SK_ID_CURR,CODE_GENDER,AGE,CNT_FAM_MEMBERS,CNT_CHILDREN,DAYS_EMPLOYED_PERC,NAME_TYPE_SUITE,NAME_FAMILY_STATUS,AMT_INCOME_TOTAL,AMT_GOODS_PRICE,BURO_CREDIT_ACTIVE_Sold_MEAN,INCOME_CREDIT_PERC,INCOME_PER_PERSON,ANNUITY_INCOME_PERC,PAYMENT_RATE,DEF_30_CNT_SOCIAL_CIRCLE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_EDUCATION_TYPE_High education,NAME_EDUCATION_TYPE_Low education,NAME_EDUCATION_TYPE_Medium education,ORGANIZATION_TYPE_Construction,ORGANIZATION_TYPE_Electricity,ORGANIZATION_TYPE_Government/Industry,ORGANIZATION_TYPE_Medicine,ORGANIZATION_TYPE_Other/Construction/Agriculture,ORGANIZATION_TYPE_School,ORGANIZATION_TYPE_Services,ORGANIZATION_TYPE_Trade/Business,OCCUPATION_TYPE_Accountants/HR staff/Managers,OCCUPATION_TYPE_Core/Sales staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Tech Staff
7162,0,186996,1,41.23561643835617,2.0,0,0.0552122782539366,0,1,202500.0,450000.0,0.0,0.45,101250.0,0.0586222222222222,0.02638,0.0,0.5335095099017988,0.6797454516666361,0.7106743858828587,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25600,0,412661,1,34.35616438356164,2.0,0,0.009170653907496,0,1,180000.0,675000.0,0.0,0.2225932109070673,90000.0,0.129475,0.0288202559821925,0.0,0.6672176882289738,0.4814066156026386,0.2735646775174348,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19148,0,334952,0,39.37260273972603,3.0,1,0.2111196158931181,0,1,270000.0,454500.0,0.0,0.5070479667376534,90000.0,0.1322833333333333,0.0670739951999459,0.0,0.6296752646419883,0.7331624376782261,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11805,0,243675,0,53.02465753424657,3.0,1,0.137335951224553,0,1,247500.0,135000.0,0.0,1.8333333333333333,82500.0,0.0272727272727272,0.05,0.0,0.6654193865400867,0.7660437591893045,0.6817058776720116,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1415,1,117517,0,23.197260273972603,1.0,0,0.0114562418802409,0,0,225000.0,675000.0,0.0,0.3333333333333333,225000.0,0.1449,0.0483,0.0,0.1898567082989011,0.3076830607466252,0.2032521136204725,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8532,0,203418,1,44.36438356164384,2.0,0,0.074476625702464,0,1,180000.0,585000.0,0.0,0.3076923076923077,90000.0,0.1377,0.0423692307692307,0.0,0.5535846773626479,0.6746641568026783,0.5370699579791587,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16430,0,301247,1,40.96438356164384,2.0,0,0.1968298555377207,0,1,202500.0,630000.0,0.5,0.274350095108033,101250.0,0.2658888888888889,0.0729466419548358,0.0,0.4080216468601898,0.3775110723279204,0.8004513396487078,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
27820,0,439502,1,45.515068493150686,1.0,0,0.0127008968879792,0,0,360000.0,900000.0,0.0,0.4,360000.0,0.101825,0.04073,0.0,0.7979926226248941,0.643960830127239,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18110,0,322154,1,28.827397260273973,2.0,0,0.0471393271241208,0,1,67500.0,202500.0,0.0,0.3333333333333333,33750.0,0.15,0.05,0.0,0.7118998782404066,0.1500844730562422,0.5744466170995097,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22207,0,372588,1,51.88767123287671,2.0,0,0.0144146998257563,0,1,76500.0,315000.0,0.0,0.2196609468678933,38250.0,0.2558823529411764,0.0562073599338432,1.0,0.8890462309536116,0.6562313459980234,0.7032033049040319,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
